Epoch,Accuracy,TrainLoss
1211,100,0.0368101
1212,93.75,0.230219
1213,100,0.0411818
1214,100,0.0225272
1215,100,0.0369254
1216,100,0.0326899
1217,93.75,0.165267
1218,100,0.0291142
1219,96.875,0.0789599
1220,96.875,0.249249
1221,96.875,0.0647044
1222,96.875,0.0362502
1223,96.875,0.182346
1224,96.875,0.0805148
1225,96.875,0.226775
1226,96.875,0.0709523
1227,93.75,0.101585
1228,93.75,0.159997
1229,81.25,0.513384
1230,93.75,0.180235
1231,84.375,0.313323
1232,87.5,0.246107
1233,90.625,0.157133
1234,93.75,0.187031
1235,100,0.0538608
1236,96.875,0.126818
1237,96.875,0.209943
1238,93.75,0.139238
1239,87.5,0.269562
1240,93.75,0.345047
1241,93.75,0.129106
1242,93.75,0.136062
1243,93.75,0.153907
1244,93.75,0.181237
1245,100,0.0933594
1246,93.75,0.237289
1247,93.75,0.12474
1248,96.875,0.0860624
1249,87.5,0.454195
1250,90.625,0.164619
1251,96.875,0.132037
1252,96.875,0.162925
