Epoch,Accuracy,TrainLoss
594,100,0.0735307
595,93.75,0.248401
596,87.5,0.307949
597,100,0.0583611
598,81.25,0.621557
599,93.75,0.183993
600,87.5,0.376114
601,100,0.12271
602,100,0.0844786
603,100,0.177641
604,100,0.153092
605,93.75,0.172183
606,100,0.0268051
607,100,0.0149299
608,100,0.0966466
609,87.5,0.22846
610,93.75,0.153703
611,93.75,0.478416
612,87.5,0.634213
613,100,0.0597323
614,87.5,0.315197
615,93.75,0.108693
616,100,0.00819709
617,87.5,0.45677
618,100,0.101285
619,100,0.0335742
620,100,0.0366682
621,100,0.0664522
622,81.25,0.392317
623,93.75,0.133371
624,87.5,0.269024
625,100,0.0798618
626,87.5,0.16259
627,93.75,0.146139
628,87.5,0.743759
629,100,0.0675092
630,93.75,0.322056
631,87.5,0.264565
632,100,0.0578209
633,93.75,0.27624
634,100,0.0306569
635,93.75,0.307607
636,87.5,0.352519
637,93.75,0.190062
638,81.25,0.538655
639,87.5,0.556074
640,93.75,0.273853
641,100,0.0551696
642,93.75,0.166482
643,93.75,0.410275
644,93.75,0.166534
645,93.75,0.168115
646,100,0.0917958
647,100,0.0183339
648,93.75,0.344159
649,93.75,0.151147
650,100,0.0869622
651,93.75,0.110102
652,100,0.0197115
653,81.25,0.592457
654,93.75,0.131447
655,93.75,0.133647
656,87.5,0.446529
657,100,0.050595
658,93.75,0.132814
659,100,0.0118683
660,100,0.0310311
661,93.75,0.23805
662,100,0.0680063
663,100,0.0664482
664,100,0.0577024
665,100,0.0424485
666,93.75,0.505358
667,93.75,0.20008
668,93.75,0.200381
669,100,0.0319818
670,93.75,0.152118
671,100,0.0655152
672,87.5,0.544572
673,87.5,0.465447
674,87.5,0.244863
675,93.75,0.129789
676,100,0.108213
677,100,0.0595404
678,100,0.103739
679,87.5,0.533353
680,100,0.0600817
681,87.5,0.347195
682,100,0.0233066
683,100,0.0479677
684,93.75,0.337905
685,93.75,0.102214
686,100,0.0274838
687,93.75,0.186805
688,93.75,0.319398
689,100,0.0509661
690,87.5,0.647133
691,87.5,0.311055
692,93.75,0.0692774
693,100,0.121954
694,100,0.0448812
695,93.75,0.227838
696,93.75,0.203474
697,100,0.0328542
698,93.75,0.304752
699,100,0.0246865
700,93.75,0.10411
701,81.25,0.45457
702,93.75,0.0823983
703,87.5,0.418618
704,100,0.0457916
705,100,0.0283505
706,100,0.111185
707,100,0.0772209
708,100,0.0273405
709,100,0.0626735
710,100,0.0201974
711,93.75,0.175191
712,87.5,0.239707
713,100,0.0467313
714,93.75,0.126502
715,81.25,0.388539
716,93.75,0.146809
717,100,0.0989277
718,93.75,0.299658
719,93.75,0.221939
720,93.75,0.139481
721,93.75,0.54074
722,87.5,0.342651
723,93.75,0.0901178
724,62.5,1.18884
725,100,0.110765
726,93.75,0.322753
727,81.25,0.226333
728,87.5,0.43901
729,87.5,0.312344
730,100,0.0360425
731,93.75,0.181702
732,81.25,0.696633
733,100,0.0670847
734,100,0.150725
735,100,0.121101
736,93.75,0.436512
737,100,0.0991987
738,93.75,0.207861
739,93.75,0.33171
740,100,0.117532
741,87.5,0.242603
742,93.75,0.209287
743,87.5,0.208049
744,100,0.0565023
745,100,0.040947
746,93.75,0.159111
747,81.25,0.699762
748,100,0.101721
749,93.75,0.157741
750,100,0.13356
751,87.5,0.197232
752,87.5,0.36907
753,93.75,0.115579
754,87.5,0.352021
755,87.5,0.431911
756,100,0.0327404
757,100,0.0502708
758,87.5,0.243578
759,100,0.023825
760,100,0.0384457
761,93.75,0.0901816
762,93.75,0.166847
763,93.75,0.155724
764,93.75,0.457764
765,87.5,0.360081
766,100,0.044373
767,87.5,0.284387
768,93.75,0.309199
769,93.75,0.23863
770,93.75,0.196604
771,93.75,0.124642
772,93.75,0.283337
773,100,0.0741316
774,68.75,0.554901
775,87.5,0.170398
776,100,0.022635
777,93.75,0.130782
778,81.25,0.315903
779,100,0.0680338
780,81.25,0.403776
781,75,0.350125
782,93.75,0.361504
783,93.75,0.13848
784,100,0.021297
785,87.5,0.870138
786,93.75,0.143473
787,87.5,0.45879
788,81.25,0.465321
789,87.5,0.66602
790,93.75,0.132237
791,81.25,1.11192
